Organization,Program,2017-18 - Expenditures,2018-19 - Expenditures,2019-20 - Expenditures,2020-21 - Expenditures,2021-22 - Expenditures,2023-24 - Planned Spending,2024-25 - Planned Spending,2025-26 - Planned Spending
Atlantic Canada Opportunities Agency,Enterprise Development,201219381.99,0,0,0,0,0,0,0
Atlantic Canada Opportunities Agency,Community Development,117229594.09,0,0,0,0,0,0,0
Atlantic Canada Opportunities Agency,"Policy, Advocacy and Coordination",14295454.34,0,0,0,0,0,0,0
Atlantic Canada Opportunities Agency,Inclusive Communities,0,38934704.33,35489825.87,125967182.68,48378814.8,30739920,27862204,26662209
Atlantic Canada Opportunities Agency,Diversified Communities,0,58179725.77,62973843.26,57848085.86,104562900.55,99235799,72749612,70542687
Atlantic Canada Opportunities Agency,Research and Development and Commercialization,0,59981940.39,46367397.71,38143196.44,21467705.02,44645892,43274269,43270583
Atlantic Canada Opportunities Agency,Innovation Ecosystem,0,47434874.4,37865419.03,50379061.56,63077344.37,52541665,44599682,42836723
Atlantic Canada Opportunities Agency,Business Growth,0,85160406.47,112150441.46,245917056.48,142994085.55,86961875,51879650,47028375
Atlantic Canada Opportunities Agency,Trade and Investment,0,19784891.53,15237853.97,13618402.36,18586454.65,34994933,23865268,24022499
Atlantic Canada Opportunities Agency,Policy Research and Engagement,0,13877883.38,14433423.62,13163971.21,15198821.82,13674698,12034713,12029665
Atlantic Canada Opportunities Agency,Internal Services,26241166.17,0,0,0,0,0,0,0
Atlantic Canada Opportunities Agency,Internal Services,0,26243126.2,27141436.09,30008659.47,29224086.46,27434430,27295761,27177515
Canadian Nuclear Safety Commission,Nuclear Fuel Cycle Program,0,13178829.8,12633565.73,11272970.42,11219953.44,18174153,18306265,18210075
Canadian Nuclear Safety Commission,Nuclear Reactors Program,0,45051656.64,46899808.28,42353756.94,43077729.93,47457274,47805511,48420967
Canadian Nuclear Safety Commission,Nuclear Substances and Prescribed Equipment Program,0,12050933.61,12380838.16,11142050.33,11558331.86,13378034,13476200,13649695
Canadian Nuclear Safety Commission,Nuclear Non-Proliferation Program,0,5097722.35,4639213,3916108.06,4042894.33,5105931,5143398,5209615
Canadian Nuclear Safety Commission,"Scientific, Regulatory and Public Information Program",0,24688231.87,25017297.81,24177760.66,26699196.78,32458741,33883283,34227816
Canadian Nuclear Safety Commission,Nuclear Fuel Cycle,10847005.37,0,0,0,0,0,0,0
Canadian Nuclear Safety Commission,Nuclear Reactors,46375052.21,0,0,0,0,0,0,0
Canadian Nuclear Safety Commission,Nuclear Substances and Prescribed Equipment,13452248.63,0,0,0,0,0,0,0
Canadian Nuclear Safety Commission,Nuclear Non-proliferation,4920300.54,0,0,0,0,0,0,0
Canadian Nuclear Safety Commission,"Scientific, Technical, Regulatory and Public Information",27089233.78,0,0,0,0,0,0,0
Canadian Nuclear Safety Commission,Internal Services,47109464.24,0,0,0,0,0,0,0
Canadian Nuclear Safety Commission,Internal Services,0,48855731.35,46394659.95,46664375.11,46942192.05,53889683,54280914,54916246
Atomic Energy of Canada Limited,Atomic Energy of Canada Limited,826595000,0,0,0,0,0,0,0
Atomic Energy of Canada Limited,Nuclear laboratories,0,317582292,310900000,281090678,261049322,401045586,401045586,401045586
Atomic Energy of Canada Limited,Nuclear decommissioning and radioactive waste management,0,511651000,557240000,659650000,747720000,1140509721,1140509721,1140509721
Agriculture and Agri-Food Canada,Business Risk Management,958353021.64,0,0,0,0,0,0,0
Agriculture and Agri-Food Canada,Canadian Pari-Mutuel Agency,-271765.39,0,0,0,0,0,0,0
Agriculture and Agri-Food Canada,Farm Products Council of Canada,2626335.11,0,0,0,0,0,0,0
Agriculture and Agri-Food Canada,"Science, Innovation, Adoption and Sustainability",602610968.41,0,0,0,0,0,0,0
Agriculture and Agri-Food Canada,Industry Capacity,57542611.05,0,0,0,0,0,0,0
Agriculture and Agri-Food Canada,Trade and Market Expansion,0,52360723.82,58764607.74,49132118.39,47150140.18,12269315,12269315,12429315
Agriculture and Agri-Food Canada,Sector Engagement and Development,0,34247456.65,35121301.31,41521153.6,59817640.84,115315859,36322923,24517008
Agriculture and Agri-Food Canada,Farm Products Council of Canada,0,2520779.52,2855295.43,3124222.16,2637987.65,3185730,3185730,3185730
Agriculture and Agri-Food Canada,Supply Management Initiatives,0,99881679.91,428208030.88,522110099.94,540234533.3,154347411,165630164,164883305
Agriculture and Agri-Food Canada,Canadian Pari-Mutuel Agency,0,-317141.62,225726.16,1368492.98,430721.38,2018122,1817561,1792839
Agriculture and Agri-Food Canada,Water Infrastructure,0,38523974.13,3867939.2,4041052.07,0,0,0,0
Agriculture and Agri-Food Canada,"Federal, Provincial and Territorial Cost-shared Markets and Trade",0,55780799.28,66817899.91,78341136.73,77553416.25,0,0,0
Agriculture and Agri-Food Canada,Community Pastures,0,-2313624.59,0,0,0,0,0,0
Agriculture and Agri-Food Canada,Food Policy Initiatives,0,0,26563247.78,205754040.01,156531542.21,28555841,0,0
Agriculture and Agri-Food Canada,Water Infrastructure Divestiture,0,0,0,0,0,3492016,3492016,3492016
Agriculture and Agri-Food Canada,Foundational Science and Research,0,363968493.59,366089881.92,378573406.83,382798012.48,293691939,292525451,292391458
Agriculture and Agri-Food Canada,AgriScience,0,62551943.75,78599953.44,66199484.99,80832095.55,21286432,21286432,21286432
Agriculture and Agri-Food Canada,AgriInnovate,0,27019057.88,25416329.73,35723614.48,28082207.27,0,0,0
Agriculture and Agri-Food Canada,Environment and Climate Change Programs,0,8325972.71,6388232.24,5712118.97,17169442.8,250946145,128561945,129684404
Agriculture and Agri-Food Canada,Canadian Agricultural Strategic Priorities Program,0,4578843.84,1720945.88,118915408.13,31745736.92,5919591,8419590,8419591
Agriculture and Agri-Food Canada,"Federal, Provincial and Territorial Cost-shared Science, Research, Innovation and Environment",0,94381816.16,112132818.01,116926443.92,116892166.23,0,0,0
Agriculture and Agri-Food Canada,AgriStability,0,227271746.68,207482794.59,230929126.33,244690000.62,255310380,255310380,255310380
Agriculture and Agri-Food Canada,AgriInvest,0,185783723.46,167887164.56,166589608.71,166179248.14,132252000,132252000,132252000
Agriculture and Agri-Food Canada,AgriRecovery,0,1530264.37,10105135.32,22278681.81,445261691.82,0,0,0
Agriculture and Agri-Food Canada,AgriInsurance,0,667558395.98,670139060.87,648855740.55,722753414.75,246835915,246835915,246835915
Agriculture and Agri-Food Canada,AgriRisk,0,2903749.36,6299151.77,5824991.1,7382456.25,0,0,0
Agriculture and Agri-Food Canada,Loan Guarantee Programs,0,41352091.94,69050511.21,30256230.42,36099117.53,134378737,133378737,133378737
Agriculture and Agri-Food Canada,Farm Debt Mediation Service,0,2856749.72,3254506.34,2635127.47,2218535.41,2407088,2407088,2407088
Agriculture and Agri-Food Canada,Pest Management,0,10530721.79,10244693.54,9328111.38,9812894.29,5402855,2435623,2435623
Agriculture and Agri-Food Canada,Assurance Program,0,4466614.03,13302711.37,13748277.65,15126482.42,0,0,0
Agriculture and Agri-Food Canada,"Federal, Provincial and Territorial Cost-shared Assurance",0,26880872.73,32777258.97,26841608.29,28285880.34,0,0,0
Agriculture and Agri-Food Canada,Return of Payments,0,-25522294.45,-12596151.89,-11915931.47,-13064206.9,0,0,0
Agriculture and Agri-Food Canada,Mandatory Isolation Support for Temporary Foreign Workers Program,0,0,0,72586283.52,54794849.17,0,0,0
Agriculture and Agri-Food Canada,African Swine Fever Response,0,0,0,0,0,17614307,0,0
Agriculture and Agri-Food Canada,"Market Access, Negotiations, Sector Competitiveness, and Assurance Systems",193135349.55,0,0,0,0,0,0,0
Agriculture and Agri-Food Canada,Internal Services,170901256.94,0,0,0,0,0,0,0
Agriculture and Agri-Food Canada,Management and Oversight Services,0,41578455.08,42687762.88,45762679.87,50110063.07,39098940,39098940,39098940
Agriculture and Agri-Food Canada,Communications Services,0,12506256.02,12011664.89,13134549.4,14442862.94,10927102,10416954,10438069
Agriculture and Agri-Food Canada,Legal Services,0,3203696.12,5584105.17,4517473.74,5464283.11,3369691,3369691,3369691
Agriculture and Agri-Food Canada,Human Resources Management Services,0,22163850.91,21958502.33,25635836.42,27316724.14,19424023,18328225,18357073
Agriculture and Agri-Food Canada,Financial Management Services,0,11276872.51,16229293.61,20389540.6,19582603.55,11310527,10281309,10282606
Agriculture and Agri-Food Canada,Information Management Services,0,24010756.3,21488978.62,18939192.97,19662089.03,14439603,12836122,12865769
Agriculture and Agri-Food Canada,Information Technology Services,0,43483131.84,43142104.26,51656771.24,51515639.83,35338078,30215707,30347729
Agriculture and Agri-Food Canada,Real Property Management Services,0,10747261.94,12167931.05,10228042.73,9139909.61,5314509,4573537,4573537
Agriculture and Agri-Food Canada,Materiel Management Services,0,253665.17,251387.05,323427.12,83254.32,54535,54535,54535
Agriculture and Agri-Food Canada,Acquisition Management Services,0,1598280.4,1689746.87,1627231.4,3191049.17,2565848,2565848,2565848
Administrative Tribunals Support Service of Canada,Registry Services,0,9161340.93,7937214.53,9109281.6,11062361.17,11520710,11192662,10585745
Administrative Tribunals Support Service of Canada,Legal Services,0,6879353.36,6471953.14,7283488.3,8699195.63,9130469,8870481,8389484
Administrative Tribunals Support Service of Canada,Mandate and Members Services,0,30553824.85,31362698.31,30870949.9,32062108.24,36025611,34999792,33101946
Administrative Tribunals Support Service of Canada,Tribunal Specialized and Expert Support Services,23021588.32,0,0,0,0,0,0,0
Administrative Tribunals Support Service of Canada,Registry Services,9555996.02,0,0,0,0,0,0,0
Administrative Tribunals Support Service of Canada,Payments to Tribunal Chairs and Members,11724939.11,0,0,0,0,0,0,0
Administrative Tribunals Support Service of Canada,Internal Services,21212373.94,0,0,0,0,0,0,0
Administrative Tribunals Support Service of Canada,Internal Services,0,22936470.66,19276857.37,20885868.74,20447025.19,23681268,23006950,21759410
Courts Administration Service,Judicial Services,30436367.9,0,0,0,0,0,0,0
Courts Administration Service,Registry Services,26584561.8,0,0,0,0,0,0,0
Courts Administration Service,Judicial Services,0,23030571.25,27541139.38,30966361.02,27867857.75,30201343,29361647,29427525
Courts Administration Service,Registry Services,0,27206921.46,28527740.53,32726973.44,30502583.94,31635553,30755981,30824987
Courts Administration Service,E-Courts,0,470690.18,2521075.86,2768879.7,2970597.95,355822,0,0
Courts Administration Service,Security,0,9178357.8,8910724.02,9109427.05,6549965.6,7335900,7131939,7147940
Courts Administration Service,Internal Services,25770121.44,0,0,0,0,0,0,0
Courts Administration Service,Internal Services,0,25432739.24,27826072.87,29131352.38,32481510.97,31848192,30702855,30714828
Accessibility Standards Canada,Standards Development,0,0,1626710.74,1555714.65,1655122.33,12015255,12015255,12015255
Accessibility Standards Canada,Outreach and Knowledge Application,0,0,217013.86,6885341.73,9747419.55,3515254,3515216,3515216
Accessibility Standards Canada,Internal Services,0,0,2117103.15,6163082.85,5098072.55,5685403,5685372,5685372
Canadian Air Transport Security Authority,Canadian Air Transport Security Authority,0,817770631,847862166,686325308.37,686115078.02,561429271,561429271,561429271
Canadian Air Transport Security Authority,Canadian Air Transport Security Authority,723429207.33,0,0,0,0,0,0,0
Copyright Board Canada,Copyright Tariff Setting and Issuance of Licences,2617109.5,0,0,0,0,0,0,0
Copyright Board Canada,Copyright Tariff Setting and Issuance of Licences,0,3024214.43,3297974.06,3162303.6,2922185.08,3481770,3481770,3481770
Copyright Board Canada,Internal Services,613889.89,0,0,0,0,0,0,0
Copyright Board Canada,Internal Services,0,709383.69,772056.24,740083.68,728486.91,870443,870443,870443
Canadian Broadcasting Corporation,Canadian Broadcasting Corporation,1222083485,0,0,0,0,0,0,0
Canadian Broadcasting Corporation,Canadian Broadcasting Corporation,0,1210831413,1210797846,1366915479,1250423241,1287169435,1287169435,1287169435
Canada Border Services Agency,Risk Assessment Program,166208362.51,0,0,0,0,0,0,0
Canada Border Services Agency,Admissibility Determination,903849208.77,0,0,0,0,0,0,0
Canada Border Services Agency,Secure and Trusted Partnerships,29892153.85,0,0,0,0,0,0,0
Canada Border Services Agency,Revenue and Trade Management,60344024.19,0,0,0,0,0,0,0
Canada Border Services Agency,Recourse,10119205.22,0,0,0,0,0,0,0
Canada Border Services Agency,Targeting,0,75763544.23,71707505.01,70620698.85,77067588.15,71461149,81605261,77861877
Canada Border Services Agency,Intelligence Collection and Analysis,0,89866425.79,82960023.95,93063335.71,106063071.62,122136448,113370192,113422656
Canada Border Services Agency,Security Screening,0,14350701.17,13755107.51,14101824.13,20502403.71,30532731,32645871,30088716
Canada Border Services Agency,Traveller Facilitation and Compliance,0,703249004.13,628359930.57,535971121.56,677054976.58,689137504,683579747,666214287
Canada Border Services Agency,Commercial Facilitation and Compliance,0,402884168,369330981.29,432160413.44,473221786.95,333038570,330779529,310677279
Canada Border Services Agency,Anti-Dumping and Countervailing,0,7592138.14,8989128.41,9092287.9,10018020.75,10420469,10318361,10302302
Canada Border Services Agency,Trusted Traveller,0,19560983.02,7140358.47,11910057.07,9994156.19,10288325,10233656,10339244
Canada Border Services Agency,Trusted Trader,0,13486313.73,11302205.37,10305398.83,12375014.75,28872957,22781360,17867915
Canada Border Services Agency,Recourse,0,14856236.17,18629356.03,19437620.96,24036021.8,21521139,21499706,21033983
Canada Border Services Agency,Force Generation,0,62284639.91,65048093.72,51775764.97,63519658.4,67371665,60297948,57293498
Canada Border Services Agency,Buildings and Equipment,0,120347771.19,123103429.26,166095745.32,150137614.96,247103617,289263871,194456828
Canada Border Services Agency,Field Technology Support,0,28355591.21,35962253.98,38287862.94,41452845.61,67026606,83979321,46876093
Canada Border Services Agency,Trade Facilitation and Compliance,0,0,0,0,0,66338291,66489972,66461749
Canada Border Services Agency,Immigration Investigations,0,59953129.24,46673689.65,67176271.14,86441548.3,82670407,62956357,62688503
Canada Border Services Agency,Detentions,0,65259045,71377021.13,64408133.98,73916466.52,110330465,106350985,103657565
Canada Border Services Agency,Hearings,0,37340859.89,37361533.35,41463838.99,46541681.14,65151576,50008068,47758820
Canada Border Services Agency,Removals,0,42297978.46,51046409.41,37295223.22,50274525.57,137516861,71996252,70523538
Canada Border Services Agency,Criminal Investigations,0,41750123.53,37876761.22,40789889.68,45924766.28,49861935,51025881,51582239
Canada Border Services Agency,Criminal Investigations,31505571.88,0,0,0,0,0,0,0
Canada Border Services Agency,Immigration Enforcement,176332547.12,0,0,0,0,0,0,0
Canada Border Services Agency,Internal Services,390184267.91,0,0,0,0,0,0,0
Canada Border Services Agency,Management and Oversight Services,0,69961121.47,85688006.4,104105559.54,121637891.79,95671814,92960269,92167205
Canada Border Services Agency,Communications Services,0,11539716.34,13178101.41,15021645.3,14464875.26,13264261,13131497,13065414
Canada Border Services Agency,Legal Services,0,18789183.47,18641261.03,15865357.04,16201350.11,23235451,23883424,24708667
Canada Border Services Agency,Human Resources Management Services,0,61895746.93,63475245.77,71545007.74,77595775.4,62556391,61998693,61047788
Canada Border Services Agency,Financial Management Services,0,26633200.88,29379995.86,41828744.95,45763002.09,58290460,53925854,51603442
Canada Border Services Agency,Information Management Services,0,6135970.96,5928079.49,18302417.72,23973816.51,22193861,7255024,7344836
Canada Border Services Agency,Information Technology Services,0,125664491.73,129496945.58,159311191.6,171223458.65,184337679,173583018,131792284
Canada Border Services Agency,Real Property Management Services,0,18758881.3,19519992.94,20942921.06,22793862.06,19024832,17447382,17646515
Canada Border Services Agency,Materiel Management Services,0,11011155.97,12891520.34,9890228.82,10195670.88,15700410,15926715,12866952
Canada Border Services Agency,Acquisition Management Services,0,5349561.18,5517069.62,6669285.44,6326140.98,12812523,12564064,12660004
Canada Council for the Arts,Canada Council for the Arts,258714308,0,0,0,0,0,0,0
Canada Council for the Arts,Canada Council for the Arts,0,292790894,327771295,428631145,510389080,364238813,364238813,364238813
Canadian Commercial Corporation,Canadian Commercial Corporation,0,0,0,0,0,13000000,13000000,13000000
Canada School of Public Service,Learning,0,62635277.47,61097921.58,56617690.23,59595861.44,59560910,59562895,59655284
Canada School of Public Service,Learning Services,55437036.72,0,0,0,0,0,0,0
Canada School of Public Service,Internal Services,20852597.6,0,0,0,0,0,0,0
Canada School of Public Service,Internal Services,0,22599860.98,20282333.75,25665143.01,21740560.08,19853637,19854297,19885095
Canadian Centre for Occupational Health and Safety,"Occupational health and safety information development, delivery services and tripartite collaboration",6849061.17,0,0,0,0,0,0,0
Canadian Centre for Occupational Health and Safety,Occupational health and safety information and services,0,6653617.76,6953799.05,7577113.53,8613556.47,7390508,7390508,7390508
Canadian Centre for Occupational Health and Safety,Internal Services,3307911.46,0,0,0,0,0,0,0
Canadian Centre for Occupational Health and Safety,Internal Services,0,3906430.06,4227191.14,4128539.2,4479475.54,3033340,3033340,3033340
Canada Revenue Agency,Tax Services and Processing,797087693.68,753593999.16,880135329.79,1232375372.8,1300163725.79,1069625077,973832551,955661346
Canada Revenue Agency,Returns Compliance,366964306.69,329231754.08,333528851.94,396349254.86,430731465.35,430071029,414021544,410721666
Canada Revenue Agency,Collections,426221590.4,381589788.82,428224546.21,470623139.82,446043963.79,486709605,472408549,463244068
Canada Revenue Agency,Domestic Compliance,790269046.38,744281990.29,798143772.01,860364454.39,0,0,0,0
Canada Revenue Agency,International and Large Business Compliance and Criminal Investigations,393779226.53,398210080.64,443165658.01,470693837.3,0,0,0,0
Canada Revenue Agency,Objections and Appeals,193563975.04,190322394.75,197775838.6,226040457.58,244665970.26,324166725,324128570,312847961
Canada Revenue Agency,Taxpayer Relief,19976250.46,16915388.71,18875596.83,25732803.08,34558425.38,48608656,26971296,27280173
Canada Revenue Agency,Service Feedback,13048004.6,12471594.93,16150870.84,19364822.32,19389089.76,13642641,13447299,13433627
Canada Revenue Agency,Charities,36938562.1,32741000.22,38951232.6,43235305.33,37752314.64,40679893,38465507,38389955
Canada Revenue Agency,Registered Plans,17305715.58,15385993.23,20647399.87,24686875.32,22490893.25,25292612,25026385,26082129
Canada Revenue Agency,"Policy, Rulings, and Interpretations",90190236.41,84758492.46,104316419.91,118788868.07,116925251.13,137989916,136134914,135058418
Canada Revenue Agency,Reporting Compliance,0,0,0,0,1297914401.36,1559760862,1572589017,1559059170
Canada Revenue Agency,Benefits,479298608.13,1128379061.42,3140851352.88,5147281793.28,4403123715.37,9683526641,11150834566,12616887655
Canada Revenue Agency,Taxpayers' Ombudsperson,3210403.48,3097900.19,3804533.47,4614641.29,4049529.32,4403913,4129457,4127305
Canada Revenue Agency,Management and Oversight Services,149473598.99,139630857.89,146730991.07,172947191.9,195638587.18,219505786,202655493,200450080
Canada Revenue Agency,Communications Services,55937188.58,60909428.91,35076190.11,46633384.22,53481788.88,49128564,43005829,42786999
Canada Revenue Agency,Legal Services,3075658.26,2605609.02,2458105.22,2949255.69,3153607.52,3549660,3523541,3482994
Canada Revenue Agency,Human Resources Management Services,131633859.45,121872345.41,131292399.08,144962710.49,156110688.72,145899182,139634033,138318243
Canada Revenue Agency,Financial Management Services,63141794.92,48449029.48,37428794.96,55520062.72,53131206.9,81721071,102677196,92100675
Canada Revenue Agency,Information Management Services,56303626.81,52594699.61,28120577.08,17482853.85,28426555.09,22127327,21727773,21213430
Canada Revenue Agency,Information Technology Services,543562195.76,540430977.27,323795526.97,418841857.92,560393175.42,429520929,370765520,370348861
Canada Revenue Agency,Real Property Management Services,30034403.7,25432547.31,30448143,38533609.66,43008095.13,58933523,45292510,44592042
Canada Revenue Agency,Materiel Management Services,35530870.04,28634802.8,28803478.95,34789042.81,27825396.44,29034906,28845837,28794744
Canada Revenue Agency,Acquisition Management Services,11220528.52,9573320.72,9485550.93,11186344.11,10316767.54,10631114,10573101,10463116
Canadian Dairy Commission,Administer milk supply management system,3924160,0,0,0,0,0,0,0
Canadian Dairy Commission,Canadian Dairy Commission,0,3979440.27,3967223.48,4576877,4291407,4222621,4222621,4222621
Impact Assessment Agency of Canada,Environmental Assessment Delivery Program,26941479.56,0,0,0,0,0,0,0
Impact Assessment Agency of Canada,Environmental Assessment Policy Program,6159569.8,0,0,0,0,0,0,0
Impact Assessment Agency of Canada,Impact Assessment Policy Development,0,7370833.38,18771488.86,30314230.43,0,0,0,0
Impact Assessment Agency of Canada,Assessment Delivery,0,30035733.97,34350592.17,36885954.89,0,0,0,0
Impact Assessment Agency of Canada,"Assessment Administration, Conduct, and Monitoring",0,0,0,0,48955248.2,62268347,66790255,52034260
Impact Assessment Agency of Canada,Indigenous Relations and Engagement,0,0,0,0,9930712.06,17206251,18165942,13933726
Impact Assessment Agency of Canada,Internal Services,6721110.86,0,0,0,0,0,0,0
Impact Assessment Agency of Canada,Internal Services,0,10157453.83,10324816.16,9683304.16,13114776.08,19868649,19927997,14480778
Office of the Chief Electoral Officer,Voting Services Delivery and Field Management,0,76211627.96,356631315.06,107646110.28,413048519.44,0,0,0
Office of the Chief Electoral Officer,Electoral Data Services,0,11206773.06,12334816.84,12761904.48,14726588.37,0,0,0
Office of the Chief Electoral Officer,Public Education and Information,0,19287552.82,42799358.6,19063203.91,47533624.67,0,0,0
Office of the Chief Electoral Officer,Electoral Integrity and Regulatory Oversight,0,14201212.91,103371633.86,4087200.9,80682170.28,0,0,0
Office of the Chief Electoral Officer,Office of the Commissioner of Canada Elections,0,0,0,7770484.04,7267285.01,0,0,0
Office of the Chief Electoral Officer,Electoral Boundaries Readjustment Administration,0,0,0,0,0,1037393,0,0
Office of the Chief Electoral Officer,Voting Services,0,0,0,0,0,22244116,21099172,22258937
Office of the Chief Electoral Officer,Field Management,0,0,0,0,0,54741679,55904886,42298796
Office of the Chief Electoral Officer,Public Education and Information,0,0,0,0,0,23210502,21083007,15792601
Office of the Chief Electoral Officer,Electoral Data Services,0,0,0,0,0,14912868,13834196,11404799
Office of the Chief Electoral Officer,Office of the Commissioner of Canada Elections,0,0,0,0,0,8631530,8628918,8637949
Office of the Chief Electoral Officer,Political Entities Regulatory Compliance,0,0,0,0,0,14988955,10041346,9817851
Office of the Chief Electoral Officer,Electoral Integrity and Regulatory Policy,0,0,0,0,0,3562717,3512788,3458190
Office of the Chief Electoral Officer,Electoral Operations,62296091.47,0,0,0,0,0,0,0
Office of the Chief Electoral Officer,Regulation of Electoral Activities,15196088.2,0,0,0,0,0,0,0
Office of the Chief Electoral Officer,Electoral Engagement,10793891.95,0,0,0,0,0,0,0
Office of the Chief Electoral Officer,Internal Services,43199649.73,0,0,0,0,0,0,0
Office of the Chief Electoral Officer,Internal Services,0,62841305.76,55759212.78,57501257.18,64029660.23,61524450,58134589,54903059
Telefilm Canada,Investment in the development of and support to the Canadian audiovisual industry,69845827.3,0,0,0,0,0,0,0
Telefilm Canada,National and international promotional support for Canadian content,21633626.28,0,0,0,0,0,0,0
Telefilm Canada,Funding the production of Canadian content,0,70005161.44,77352381.44,92090215.95,91206087.77,106509788,106509788,106509788
Telefilm Canada,Promoting Canadian talent and content,0,21121456.31,21054368.31,28079983.93,45428516.4,29867809,29867809,29867809
Telefilm Canada,Internal Services,12092582.42,0,0,0,0,0,0,0
Telefilm Canada,Internal Services,0,10772360.25,10972199.25,12138041.4,14593994.83,15530882,15530882,15530882
Military Grievances External Review Committee,Independent Review of Military Grievances,3922563.06,0,0,0,0,0,0,0
Military Grievances External Review Committee,Independent review of military grievances,0,4053376.96,4157427.12,4978501.2,4811194.75,4989206,4989206,4989206
Military Grievances External Review Committee,Internal Services,2803893.41,0,0,0,0,0,0,0
Military Grievances External Review Committee,Internal Services,0,2256512.54,2218456.71,2216718.53,2213866.53,2095437,2095437,2095437
Canadian Food Inspection Agency,Food Safety Program,358956685.17,0,0,0,0,0,0,0
Canadian Food Inspection Agency,Animal Health and Zoonotics Program,135253333.92,0,0,0,0,0,0,0
Canadian Food Inspection Agency,Plant Resources Program,74846478.91,0,0,0,0,0,0,0
Canadian Food Inspection Agency,Setting Rules for Plant Health,0,18732923.8,18977347.11,19176375.51,21195125.57,21210000,21141000,21106000
Canadian Food Inspection Agency,Plant Health Compliance Promotion,0,1687440.11,1767299.55,1871085.75,2334903.73,1799000,1745000,1750000
Canadian Food Inspection Agency,Monitoring and Enforcement for Plant Health,0,48376669.75,38389145.22,39944893.28,44221355.51,69246000,52569000,50956000
Canadian Food Inspection Agency,Permissions for Plant Products,0,26805787.78,24952865.03,25914950.88,30562334.52,44551000,31823000,30681000
Canadian Food Inspection Agency,Setting Rules for Animal Health,0,33172667.18,32470026.89,32690014.64,37286618.65,35837000,33838000,33855000
Canadian Food Inspection Agency,Animal Health Compliance Promotion,0,7212615.71,7109454.95,7700006,7902027.83,10007000,8321000,7366000
Canadian Food Inspection Agency,Monitoring and Enforcement for Animal Health,0,76175357.78,66213955.58,67930884.96,73530653.06,82551000,65275000,59474000
Canadian Food Inspection Agency,Permissions for Animal Products,0,27057494.67,24537369.12,24150392.25,25320357.98,32757000,27205000,25656000
Canadian Food Inspection Agency,Setting Rules for Food Safety and Consumer Protection,0,54954599.9,62815431.12,52626053.44,54753021.31,52174000,51824000,51875000
Canadian Food Inspection Agency,Food Safety and Consumer Protection Compliance Promotion,0,13710191.09,13876334.05,16289900.41,18289046.15,11664000,11456000,11590000
Canadian Food Inspection Agency,Monitoring and Enforcement for Food Safety and Consumer Protection,0,274081043.77,250469361.77,295851006.82,277020139.19,256703000,247516000,241796000
Canadian Food Inspection Agency,Permissions for Food Products,0,44471062.24,42544422.39,40353484.55,35863776.87,36866000,35179000,33358000
Canadian Food Inspection Agency,International Standards Setting,0,4012535.28,6817515.89,6036842.52,6166674.79,2677000,2739000,2746000
Canadian Food Inspection Agency,International Regulatory Cooperation and Science Collaboration,0,6994480.88,5008859.22,4433164.69,4499842.43,3502000,3139000,3149000
Canadian Food Inspection Agency,Market Access Support,0,8341061.55,10045982.66,10621453.94,15301326.16,8223999,3169019,2078594
Canadian Food Inspection Agency,International Collaboration and Technical Agreements,31725840.13,0,0,0,0,0,0,0
Canadian Food Inspection Agency,Internal Services,138235246.15,0,0,0,0,0,0,0
Canadian Food Inspection Agency,Management and Oversight Services,0,18151406.8,16554932.88,15633038.46,16576780.25,17242000,16689000,16471000
Canadian Food Inspection Agency,Communications Services,0,11792574.59,11753346.39,13847310.18,14923376.8,16214000,15758000,15553000
Canadian Food Inspection Agency,Legal Services,0,9096553.79,6706420.57,12686148.31,9388458,9584000,9487000,9367000
Canadian Food Inspection Agency,Human Resources Management Services,0,33213667.17,33304523.6,30323064.69,37980656.59,39302000,38164000,37677000
Canadian Food Inspection Agency,Financial Management Services,0,17953088.52,17801082.06,17957832.35,17709551.06,18250000,17680000,17448000
Canadian Food Inspection Agency,Information Management Services,0,8497562.61,7386972.45,7727441.53,9328750.87,10610000,10381000,10245000
Canadian Food Inspection Agency,Information Technology Services,0,30097036.45,31590952.44,48667008.96,48358700.21,44267473,43203843,42643370
Canadian Food Inspection Agency,Real Property Management Services,0,15110743.25,18918301.03,14586036.08,13434837.38,13735000,13455000,13281000
Canadian Food Inspection Agency,Materiel Management Services,0,767968.31,538831.85,729268.42,397743.47,486000,463000,456000
Canadian Food Inspection Agency,Acquisition Management Services,0,1840758.4,1716009.39,1815960.19,2102775.54,2625000,2531000,2497000
Canadian Grain Commission,Grain Quality Research Program,11283750.21,0,0,0,0,0,0,0
Canadian Grain Commission,Quality Assurance Program,-32263650.96,0,0,0,0,0,0,0
Canadian Grain Commission,Quantity Assurance Program,-2745795.85,0,0,0,0,0,0,0
Canadian Grain Commission,Producer Protection Program,2203137.2,0,0,0,0,0,0,0
Canadian Grain Commission,Grain Quality,0,-30493406.11,-29415794.78,-45430411.09,-19809242.97,569824,539824,0
Canadian Grain Commission,Grain Research,0,10175888.18,9399915.49,9859804.21,10785853.23,7958263,7361212,5904713
Canadian Grain Commission,Safeguards for Grain Farmers,0,2753250.38,2342029.58,2132108.11,2886501.38,0,0,0
Canadian Grain Commission,Internal Services,18559016.1,0,0,0,0,0,0,0
Canadian Grain Commission,Internal Services,0,19717424.5,20379040.4,21592592.39,22183002.43,295356,295356,295356
